timestamp,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,ax,ay,az,gx,gy,gz
1755583235.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020689347984072057,0.0,0.0,0.0,0.13286477236491678,0.0,0.0,0.0,0.0,0.03290122098512665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002685546875,-0.02880859375,0.98974609375,0.6713866591453552,0.6713866591453552,-0.1220703050494194
1755583235.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020689347984072057,0.0,0.0,0.0,0.10679348422319815,0.0,0.0,0.0,0.0,0.0540797481017512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030283814399614768,0.0,0.0,0.0,0.0,0.0,0.002685546875,-0.029541015625,0.990234375,0.6713866591453552,0.6713866591453552,-0.0610351525247097
1755583235.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022182144843219884,0.0,0.0,0.0,0.15882551476627496,0.0,0.0,0.0,0.0,0.0540797481017512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030283814399614768,0.0,0.0,0.0,0.0,0.0,0.00244140625,-0.0302734375,0.9903564453125,0.6103515625,0.6103515625,-0.0610351525247097
1755583235.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022182144843219884,0.0,0.0,0.0,0.10679348422319815,0.0,0.0,0.0,0.0,0.04306833964910818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030283814399614768,0.0,0.0,0.0,0.0,0.0,0.002197265625,-0.03125,0.9903564453125,0.6103515625,0.6103515625,-0.0610351525247097
1755583235.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022182144843219884,0.0,0.0,0.0,0.10679348422319815,0.0,0.0,0.0,0.0,0.02366363942220227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030283814399614768,0.0,0.0,0.0,0.0,0.0,0.00244140625,-0.031005859375,0.9910888671875,0.6103515625,0.6713866591453552,-0.0610351525247097
1755583235.741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022182144843219884,0.0,0.0,0.0,0.15882551476627496,0.0,0.0,0.0,0.0,0.04306833964910818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030283814399614768,0.0,0.0,0.0,0.0,0.0,0.0030517578125,-0.0303955078125,0.989013671875,0.6103515625,0.7324218153953552,-0.0610351525247097
1755583235.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020689347984072057,0.0,0.0,0.0,0.15882551476627496,0.0,0.0,0.0,0.0,0.0540797481017512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030283814399614768,0.0,0.0,0.0,0.0,0.0,0.002685546875,-0.030029296875,0.989990234375,0.6103515625,0.6103515625,0.0
1755583235.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022182144843219884,0.0,0.0,0.0,0.10679348422319815,0.0,0.0,0.0,0.0,0.04306833964910818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030283814399614768,0.0,0.0,0.0,0.0,0.0,0.003173828125,-0.029052734375,0.9918212890625,0.6103515625,0.6103515625,0.0
1755583235.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020689347984072057,0.0,0.0,0.0,0.13286477236491678,0.0,0.0,0.0,0.0,0.04306833964910818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00244140625,-0.0294189453125,0.9910888671875,0.6713866591453552,0.6713866591453552,-0.0610351525247097
1755583235.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019263842416510437,0.0,0.0,0.0,0.10679348422319815,0.0,0.0,0.0,0.0,0.04306833964910818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020751953125,-0.029052734375,0.989990234375,0.6103515625,0.6713866591453552,-0.0610351525247097
