timestamp,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,ax,ay,az,gx,gy,gz
1754636248.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1539306640625,0.0545654296875,0.9844970703125,0.2441406100988388,-0.0610351525247097,0.0610351525247097
1754636248.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1534423828125,0.05517578125,0.985107421875,0.1831054538488388,-0.1220703050494194,0.1220703050494194
1754636248.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15234375,0.05419921875,0.98291015625,0.30517578125,-0.1831054538488388,0.0610351525247097
1754636248.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1527099609375,0.0540771484375,0.9847412109375,0.2441406100988388,-0.1220703050494194,0.0610351525247097
1754636248.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153076171875,0.05419921875,0.9832763671875,0.1831054538488388,-0.0610351525247097,0.1220703050494194
1754636248.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152587890625,0.0548095703125,0.9822998046875,0.2441406100988388,-0.1220703050494194,0.0610351525247097
1754636248.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1529541015625,0.054931640625,0.9837646484375,0.1220703050494194,-0.0610351525247097,0.0610351525247097
1754636248.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1519775390625,0.054443359375,0.9830322265625,0.1220703050494194,-0.1220703050494194,0.0610351525247097
1754636248.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15380859375,0.0557861328125,0.9844970703125,0.1831054538488388,-0.0610351525247097,0.0
1754636248.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15185546875,0.0556640625,0.9840087890625,0.1220703050494194,0.0,0.1220703050494194
1754636248.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15234375,0.0552978515625,0.9830322265625,0.1220703050494194,-0.0610351525247097,0.0
1754636248.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1533203125,0.055419921875,0.9833984375,0.30517578125,-0.1831054538488388,0.0
1754636248.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1527099609375,0.0548095703125,0.9847412109375,0.0610351525247097,0.0,0.1220703050494194
1754636248.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1514892578125,0.054443359375,0.9842529296875,0.1831054538488388,-0.1220703050494194,0.0610351525247097
1754636248.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1522216796875,0.0540771484375,0.98291015625,0.2441406100988388,-0.1220703050494194,0.0610351525247097
1754636248.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15380859375,0.05517578125,0.98291015625,0.1220703050494194,-0.1220703050494194,0.0610351525247097
1754636248.341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153076171875,0.054931640625,0.984375,0.1220703050494194,-0.0610351525247097,0.0610351525247097
1754636248.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1531982421875,0.054931640625,0.9827880859375,0.2441406100988388,-0.1220703050494194,0.0
1754636248.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1531982421875,0.055419921875,0.982421875,0.1220703050494194,0.0,0.0610351525247097
1754636248.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1529541015625,0.05322265625,0.98486328125,0.1220703050494194,-0.0610351525247097,0.0610351525247097
1754636248.421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15234375,0.0548095703125,0.98291015625,0.1831054538488388,-0.1220703050494194,0.0610351525247097
1754636248.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1529541015625,0.0538330078125,0.984619140625,0.1831054538488388,-0.1220703050494194,0.1220703050494194
1754636248.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15234375,0.0548095703125,0.9837646484375,0.1220703050494194,0.0,0.1220703050494194
1754636248.481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15234375,0.0550537109375,0.983154296875,0.1831054538488388,-0.0610351525247097,0.0
1754636248.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152099609375,0.05419921875,0.984130859375,0.2441406100988388,-0.1220703050494194,0.0
1754636248.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1529541015625,0.054931640625,0.98486328125,0.1220703050494194,-0.0610351525247097,0.1220703050494194
1754636248.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1534423828125,0.0545654296875,0.9835205078125,0.1831054538488388,-0.1220703050494194,0.0610351525247097
1754636248.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1534423828125,0.054931640625,0.9818115234375,0.1831054538488388,-0.1220703050494194,0.0610351525247097
1754636248.581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1531982421875,0.05517578125,0.9854736328125,0.1831054538488388,-0.1220703050494194,0.0
1754636248.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15185546875,0.05419921875,0.9840087890625,0.1220703050494194,-0.0610351525247097,0.0610351525247097
1754636248.621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1529541015625,0.0552978515625,0.984619140625,0.2441406100988388,-0.1831054538488388,0.1220703050494194
