timestamp,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,ax,ay,az,gx,gy,gz
1754551020.941,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.005859375,-0.03125,0.9974365234375,0.0610351525247097,0.0610351525247097,-0.1831054538488388
1754551020.961,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0062255859375,-0.0318603515625,1.000732421875,0.0610351525247097,0.0610351525247097,-0.1220703050494194
1754551020.981,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.005615234375,-0.0321044921875,0.9984130859375,0.0610351525247097,0.0610351525247097,-0.1220703050494194
1754551021.001,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.010666159636566025,0,0.0,0.0,0.0,-0.005126953125,-0.0318603515625,0.9998779296875,0.0,0.0610351525247097,-0.1831054538488388
1754551021.021,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0059814453125,-0.032958984375,0.998046875,0.0,0.0610351525247097,-0.1220703050494194
1754551021.041,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0067138671875,-0.03173828125,0.998779296875,0.0,0.0610351525247097,-0.1220703050494194
1754551021.061,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0064697265625,-0.031494140625,0.9990234375,0.0610351525247097,0.0610351525247097,-0.1220703050494194
1754551021.081,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0052490234375,-0.0313720703125,0.9991455078125,0.0610351525247097,0.0610351525247097,-0.1220703050494194
1754551021.102,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.006103515625,-0.031982421875,0.9991455078125,0.1220703050494194,0.0,-0.1831054538488388
1754551021.121,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0059814453125,-0.0328369140625,0.9990234375,0.0610351525247097,0.0,-0.1831054538488388
1754551021.141,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0052490234375,-0.0321044921875,0.99951171875,0.1220703050494194,0.0610351525247097,-0.1220703050494194
1754551021.161,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.00537109375,-0.031494140625,0.9998779296875,0.1220703050494194,0.0,-0.1220703050494194
1754551021.181,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0062255859375,-0.0311279296875,0.999267578125,0.0,0.0,-0.1220703050494194
1754551021.201,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.005615234375,-0.0323486328125,0.999755859375,0.0,0.0610351525247097,-0.1220703050494194
1754551021.222,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0047607421875,-0.0322265625,0.99755859375,0.0610351525247097,0.0610351525247097,-0.0610351525247097
1754551021.241,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0054931640625,-0.0311279296875,0.9964599609375,0.0610351525247097,0.0610351525247097,-0.1220703050494194
1754551021.261,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0059814453125,-0.03125,0.9989013671875,0.0610351525247097,0.0,-0.1220703050494194
1754551021.281,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0050048828125,-0.0303955078125,0.999755859375,0.0610351525247097,0.0610351525247097,-0.1220703050494194
1754551021.301,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0054931640625,-0.031982421875,0.9996337890625,0.0,0.0610351525247097,-0.1220703050494194
1754551021.321,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.005859375,-0.0322265625,0.99951171875,0.0610351525247097,0.1220703050494194,-0.1220703050494194
1754551021.341,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.005859375,-0.0323486328125,0.9989013671875,0.1220703050494194,0.0610351525247097,-0.1220703050494194
1754551021.361,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0054931640625,-0.031494140625,0.996826171875,0.1220703050494194,0.0610351525247097,-0.1220703050494194
1754551021.381,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0068359375,-0.0325927734375,0.999267578125,0.0610351525247097,0.0610351525247097,-0.1831054538488388
1754551021.401,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0054931640625,-0.0322265625,1.00048828125,0.0610351525247097,0.0610351525247097,-0.1220703050494194
1754551021.421,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0052490234375,-0.0316162109375,1.0006103515625,0.0610351525247097,0.0610351525247097,-0.0610351525247097
1754551021.441,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0064697265625,-0.031494140625,0.99853515625,0.0610351525247097,0.0610351525247097,-0.1220703050494194
1754551021.461,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0062255859375,-0.03076171875,0.998046875,0.0,0.0610351525247097,-0.1831054538488388
1754551021.481,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0054931640625,-0.03076171875,0.99951171875,0.0610351525247097,0.0610351525247097,-0.1831054538488388
1754551021.501,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0057373046875,-0.03173828125,0.9991455078125,0.0,0.0610351525247097,-0.1831054538488388
1754551021.521,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0064697265625,-0.030517578125,0.998046875,0.0610351525247097,0.0610351525247097,-0.1220703050494194
