X.1,Y.1,Z.1,X.3,Y.3,Z.3,X.5,Y.5,Z.5,X.7,Y.7,Z.7,X.9,Y.9,Z.9,X.11,Y.11,Z.11,X.13,Y.13,Z.13,X.15,Y.15,Z.15,X.17,Y.17,Z.17,X.19,Y.19,Z.19,X.21,Y.21,Z.21,X.23,Y.23,Z.23,X.25,Y.25,Z.25,X.27,Y.27,Z.27,X.29,Y.29,Z.29,X.31,Y.31,Z.31,X.33,Y.33,Z.33,X.35,Y.35,Z.35,X.37,Y.37,Z.37,X.39,Y.39,Z.39,X.41,Y.41,Z.41
-0.0029977346,998.64307,-0.017777763,3.8868406,1067.9349,18.808979,7.07785,1258.2668,-1.9309964,20.321535,1476.2764,27.333736,22.810432,1616.3058,70.17191,49.448517,1407.2808,8.181201,173.81908,1396.0752,-13.075458,201.56012,1186.0808,-63.97585,238.50952,972.0586,-84.00886,-19.97016,1409.0647,19.537823,-141.97124,1399.5737,53.797886,-185.53845,1191.6865,53.336136,-198.90413,989.50476,97.421326,87.37548,996.4233,-9.378754,93.62494,603.4216,65.53159,86.54555,255.34572,24.659569,84.602974,175.20668,143.56383,-87.44463,1000.7335,9.316242,-116.85517,591.6952,52.429348,-100.246376,277.55826,-88.66014,-77.82429,198.81883,32.183693
0.012317406,1003.8257,-0.03881284,4.0629506,1074.1449,20.71018,8.905697,1266.1898,-4.480847,25.770287,1487.1578,23.4693,29.373402,1627.4362,76.01986,56.714767,1416.0175,4.302819,192.69348,1401.8298,-16.798252,221.19743,1186.9873,-70.95045,266.90375,972.7679,-99.26102,-18.312557,1419.2021,15.496235,-151.75058,1414.1533,49.470047,-198.35501,1204.2827,47.763245,-218.52707,1002.6944,90.84569,94.36809,1000.81696,-7.274117,104.11758,602.0304,80.96699,92.730286,250.69275,46.444496,86.080284,171.54247,178.8725,-94.34768,1006.5411,7.1607676,-120.44113,589.6852,40.17352,-97.71214,273.02356,-119.4409,-82.81533,188.06479,14.116504
0.020155087,1003.6072,-0.034619078,4.7255387,1074.2698,20.683552,10.94209,1266.9905,-5.437736,29.498442,1488.1345,22.357151,33.920055,1626.9791,78.3168,60.31485,1416.4998,2.6154664,198.73192,1401.8822,-19.789114,227.46512,1183.6195,-79.58099,276.2859,969.5821,-112.19572,-15.567415,1420.4042,14.327065,-151.30475,1417.2498,48.816227,-199.65343,1205.558,45.206116,-222.73904,1004.2432,86.40418,95.369896,999.73895,-7.9010596,103.483376,595.68146,78.83837,92.79231,240.5836,50.53043,87.18167,164.81847,186.63683,-95.345924,1007.24335,7.769191,-115.76488,587.5992,36.25654,-98.15985,266.4314,-125.08369,-85.04341,180.39253,8.451381
0.023397673,1003.1572,-0.023802688,5.115816,1073.9679,20.659378,12.118654,1266.3035,-5.9843154,31.67588,1486.7788,21.649845,36.010086,1625.0133,78.868774,62.40617,1415.2806,1.6791325,201.619,1399.8055,-21.078943,228.744,1178.9365,-81.36264,278.75198,965.9549,-116.228294,-13.9880085,1419.6938,13.68862,-150.64032,1418.0656,48.4801,-200.1886,1205.1373,44.22348,-225.71854,1005.089,84.89377,95.92468,998.7409,-8.512857,105.12339,592.9077,75.03478,92.58451,233.42566,52.212578,88.21649,160.55704,190.90219,-95.904434,1007.3467,8.376842,-113.15896,586.7885,32.22779,-98.939995,260.84515,-126.325516,-84.827705,174.71516,7.552323
0.026546367,1004.8952,-0.018704392,5.222747,1075.7759,20.310331,12.756224,1266.8123,-6.4197745,32.29919,1485.3845,21.113064,36.899307,1622.1984,80.179214,63.159664,1414.5851,1.1146796,202.40034,1399.8003,-20.739786,230.48615,1176.891,-79.460396,279.84238,966.31256,-112.52075,-13.333433,1418.981,12.791789,-150.02948,1417.5482,46.75047,-200.25568,1202.4639,42.51875,-226.0487,1004.2602,84.064156,96.09825,1000.33685,-8.359887,102.46922,591.762,69.46281,91.1429,229.5011,46.93337,87.3371,158.7991,188.61548,-96.07983,1009.27484,8.234634,-109.99767,588.61554,34.750698,-99.94025,259.3079,-122.60985,-86.8575,173.35732,11.458315
0.03770825,1002.52765,-0.008970499,4.81123,1073.1173,19.661207,11.638837,1262.1187,-6.226432,30.496021,1478.86,21.979101,36.06098,1615.9502,81.23621,61.39748,1409.667,2.088815,197.74742,1395.2913,-18.216076,227.37534,1174.4122,-74.068756,276.49936,963.2389,-105.924385,-14.694369,1413.573,13.53598,-148.67062,1411.2938,46.48789,-198.72308,1196.3456,40.371693,-225.01183,996.5789,80.95556,95.662,998.44165,-7.9935384,101.65878,592.18115,65.61003,88.68591,228.26802,39.03974,83.64437,161.08282,183.46306,-95.62353,1006.5026,7.8971415,-109.61852,592.52356,46.049416,-99.235016,263.2011,-115.37168,-88.96603,175.86307,17.638195
0.037167,999.55634,-0.012587417,4.912241,1070.2811,19.485752,12.228072,1259.0942,-6.9055753,31.514877,1475.6454,21.058346,37.360012,1612.0809,81.61325,62.454033,1406.3663,1.2737209,199.09775,1391.4865,-18.261812,230.32295,1169.6025,-74.65446,280.65125,958.013,-106.52918,-13.868528,1410.6013,12.3851595,-148.30043,1409.155,44.41409,-199.28612,1193.626,35.96111,-226.78293,993.48553,75.07028,95.88397,995.17993,-7.660407,101.37108,587.89026,63.068333,88.09875,223.43102,38.375057,82.385,157.00175,184.36722,-95.84998,1003.85205,7.566648,-108.74857,589.37585,45.228657,-99.017426,259.1572,-117.30347,-91.07111,171.68776,15.266772
0.036271054,997.0273,-0.012109376,4.99015,1067.8406,19.260725,12.50976,1256.3678,-7.372675,32.029907,1472.6372,20.439766,38.049343,1608.554,82.11163,62.933994,1403.3728,0.618618,199.4068,1387.9653,-18.37767,231.43811,1165.9623,-74.71287,281.79712,954.57794,-105.90337,-13.417511,1407.845,11.591911,-147.83746,1406.8157,43.047096,-199.59183,1191.2424,33.19023,-227.69872,990.928,71.88603,95.87422,992.4858,-7.7027597,100.31918,585.01263,59.81067,87.04298,219.8501,37.161346,81.44158,153.9751,183.49037,-95.84998,1001.50134,7.612847,-107.36744,587.5133,45.600655,-99.08874,256.65155,-116.451935,-92.391136,168.71422,15.937975
0.035193466,995.5781,-0.011811136,5.0176926,1066.4777,19.055613,12.665185,1254.7067,-7.7567196,32.309,1470.6539,19.934065,38.47204,1606.2067,82.38252,63.204163,1401.4624,0.12970924,199.39586,1385.6694,-18.225458,232.03354,1163.3159,-73.92437,282.12817,952.20276,-104.072395,-13.162813,1406.0953,10.92229,-147.47166,1405.377,41.790833,-199.79176,1189.4458,30.727211,-228.34595,989.0366,69.09312,95.8706,990.9361,-7.670158,99.23492,583.2833,56.53292,86.094696,217.29305,35.01377,80.45135,151.87767,181.61594,-95.85458,1000.16156,7.5838833,-106.26096,586.6523,46.77662,-99.15363,254.94292,-114.58606,-93.55385,166.68007,17.818148
0.035040665,994.7316,-0.01105081,5.0125704,1065.6997,18.836546,12.752907,1253.6414,-8.078575,32.499424,1469.2747,19.556753,38.848953,1604.4867,82.77485,63.373737,1400.1544,-0.23084122,199.18298,1384.0704,-17.940254,232.50917,1161.4249,-73.03472,282.19955,950.53674,-102.022255,-12.968912,1404.9044,10.362945,-147.05574,1404.3914,40.611774,-199.85883,1188.0822,28.362019,-228.72215,987.5738,66.48507,95.8297,990.0346,-7.5894566,98.16754,582.2442,53.217987,85.138,215.57518,32.221325,79.241974,150.49857,178.95157,-95.81884,999.3759,7.505245,-105.07858,586.37115,48.878178,-99.06095,253.96436,-111.95015,-94.75892,165.37488,20.45505
0.03564819,993.7062,-0.010654998,5.0027914,1064.734,18.644732,12.812805,1252.4889,-8.391834,32.701565,1467.9639,19.168962,39.31883,1602.9336,83.056335,63.542995,1398.8574,-0.5888953,198.97511,1382.3588,-17.703321,232.88785,1159.5386,-72.19983,282.15683,948.6294,-100.161476,-12.770335,1403.7466,9.832698,-146.6449,1403.4916,39.53167,-199.95398,1187.0006,26.03634,-229.15349,986.2,63.736988,95.78898,988.94293,-7.5016823,97.32534,581.0821,50.324398,84.37461,213.86273,29.6005,78.24259,149.0309,176.38525,-95.782364,998.4189,7.4179077,-104.42205,585.8464,50.814285,-98.83621,252.79845,-109.580284,-95.86869,163.92087,22.797178
0.03447671,992.04156,-0.011187043,5.024221,1063.128,18.467054,12.948686,1250.768,-8.837382,33.035824,1466.1962,18.527967,39.816204,1600.9213,83.07915,63.846043,1396.989,-1.1770871,199.10292,1380.0039,-17.781334,233.54019,1157.0414,-71.75399,282.43176,946.265,-98.61339,-12.472297,1402.0591,9.076321,-146.33272,1402.1752,38.23644,-200.23804,1185.6892,23.4862,-229.74455,984.7901,60.778736,95.773155,987.1831,-7.4363627,96.42323,579.10535,47.66776,83.629654,211.60344,27.739897,77.35792,146.85062,174.48796,-95.77037,996.8543,7.3534513,-103.750916,584.26245,51.100338,-98.80015,250.58426,-108.23254,-96.972046,161.64856,24.118814
0.033940986,990.79944,-0.0119443005,5.0284615,1061.9341,18.27701,13.030728,1249.4664,-9.273782,33.320366,1464.7961,17.89211,40.32009,1599.3163,83.02148,64.07141,1395.537,-1.755524,199.02989,1378.1409,-17.875942,233.84633,1155.0596,-71.17024,282.27847,944.44403,-96.91995,-12.210534,1400.7533,8.354648,-145.93977,1401.2192,37.051086,-200.44537,1184.6846,21.208153,-230.30292,983.72003,58.142902,95.74073,985.8707,-7.3775105,95.48903,577.5505,44.915318,82.8411,209.7448,25.496677,76.52976,145.01076,172.22266,-95.7393,995.68427,7.2975454,-103.090485,583.1267,51.568665,-98.79025,248.61229,-106.348045,-97.895706,159.66548,26.075174
0.033705954,989.7675,-0.012831041,5.0201974,1060.9453,18.083523,13.082676,1248.3704,-9.715443,33.569416,1463.5828,17.234001,40.822857,1597.9309,82.862526,64.25291,1394.2853,-2.343291,198.87947,1376.5013,-17.981865,234.00241,1153.2909,-70.521065,281.9255,942.83307,-95.19553,-11.975227,1399.6376,7.624769,-145.54637,1400.4567,35.87738,-200.6077,1183.8455,19.03846,-230.80528,982.8441,55.618565,95.69913,984.77826,-7.296707,94.60075,576.2089,42.213226,82.098526,208.132,23.014263,75.72367,143.38574,169.72246,-95.698364,994.71436,7.2205296,-102.497375,582.1604,52.00104,-98.782555,246.71082,-104.29813,-98.75929,157.82715,28.245684
0.0335464,988.8188,-0.013718395,5.0063653,1060.0372,17.894823,13.115089,1247.3563,-10.173037,33.796696,1462.4661,16.530035,41.324947,1596.6683,82.61652,64.41139,1393.1278,-2.965595,198.70995,1374.9557,-18.149807,234.08209,1151.6393,-69.91779,281.46173,941.3223,-93.5569,-11.760125,1398.611,6.871404,-145.17986,1399.7883,34.70455,-200.76558,1183.1283,16.919895,-231.27414,982.0994,53.146545,95.654366,983.7748,-7.2119813,93.75707,574.9661,39.60659,81.403145,206.6546,20.443068,74.93286,141.87625,167.13675,-95.65391,993.82135,7.1394186,-101.97507,581.22156,52.241898,-98.76056,244.75125,-102.24152,-99.55797,156.00246,30.447367
0.033287436,987.8154,-0.014796598,4.9915237,1059.0696,17.70427,13.135689,1246.2906,-10.662764,34.015232,1461.324,15.759607,41.833477,1595.4132,82.250626,64.560135,1391.9348,-3.6439705,198.54424,1373.3511,-18.398016,234.10597,1149.9807,-69.35401,280.9364,939.7856,-91.98776,-11.555518,1397.5505,6.073979,-144.84102,1399.0989,33.516804,-200.93648,1182.4567,14.826594,-231.75763,981.38983,50.668617,95.61046,982.71765,-7.1272545,92.95844,573.66705,37.139057,80.7336,205.17465,17.89119,74.18201,140.3516,164.57481,-95.610214,992.8712,7.058619,-101.5588,580.17365,52.165123,-98.768715,242.61635,-100.31217,-100.316444,154.0705,32.549305
0.032865237,986.77936,-0.016003055,4.975737,1058.0668,17.50346,13.14697,1245.1962,-11.195294,34.227432,1460.173,14.913734,42.342728,1594.1757,81.77132,64.70166,1390.7267,-4.386707,198.37599,1371.719,-18.731579,234.0674,1148.3374,-68.84166,280.3471,938.2522,-90.48331,-11.359377,1396.473,5.2226443,-144.51881,1398.3887,32.300392,-201.10577,1181.8113,12.752576,-232.24635,980.6973,48.200794,95.5679,981.6329,-7.0429654,92.189705,572.3469,34.78355,80.0718,203.71661,15.366102,73.456696,138.83446,162.04361,-95.56758,991.8838,6.9785595,-101.17244,579.04785,51.758522,-98.81721,240.32518,-98.49054,-101.03689,152.05238,34.57484
0.03258418,985.8792,-0.017129123,4.9530997,1057.2047,17.30446,13.135968,1244.244,-11.744578,34.406635,1459.1743,14.026279,42.83855,1593.1184,81.21132,64.813995,1389.6735,-5.1622005,198.1985,1370.2495,-19.113125,233.94502,1146.8372,-68.35112,279.62656,936.85315,-89.05615,-11.195057,1395.5417,4.345624,-144.2497,1397.82,31.07621,-201.2823,1181.2817,10.750089,-232.71985,980.1296,45.808136,95.52834,980.6937,-6.9544616,91.4799,571.155,32.47205,79.45954,202.36646,12.675112,72.78404,137.41571,159.36166,-95.52758,991.0218,6.894738,-100.83177,577.9931,51.19496,-98.887764,237.97194,-96.64293,-101.73171,150.04759,36.672413
0.032379217,985.0655,-0.018245988,4.9255476,1056.4314,17.104687,13.110884,1243.3821,-12.317353,34.56475,1458.2766,13.089612,43.321415,1592.1792,80.571556,64.90643,1388.7164,-5.9768357,198.01923,1368.882,-19.549656,233.76433,1145.4298,-67.903175,278.80463,935.5471,-87.712906,-11.049227,1394.7031,3.4326928,-144.01787,1397.3475,29.825186,-201.45511,1180.8422,8.771343,-233.15779,979.6696,43.432472,95.48853,979.84674,-6.858848,90.80769,570.03125,30.219566,78.876076,201.09933,9.868125,72.128426,136.07487,156.57278,-95.487335,990.2418,6.8040576,-100.523506,576.9576,50.41076,-98.97961,235.55748,-94.831085,-102.39534,148.03812,38.77419
0.032051522,984.26404,-0.01936285,4.8931913,1055.6677,16.905617,13.067718,1242.526,-12.911431,34.699036,1457.3896,12.104573,43.793602,1591.2676,79.857376,64.97588,1387.7697,-6.8311844,197.82726,1367.5248,-20.043299,233.51428,1144.0317,-67.49258,277.88266,934.2476,-86.44475,-10.925392,1393.872,2.487468,-143.8203,1396.8821,28.559841,-201.62727,1180.4125,6.8298717,-233.57605,979.22705,41.083714,95.4482,979.0162,-6.761144,90.17319,568.9301,28.060413,78.329994,199.87099,6.9915667,71.51121,134.76994,153.71823,-95.44665,989.46936,6.711489,-100.263275,575.8993,49.409775,-99.09314,233.05055,-93.099525,-103.05341,145.99312,40.818092
0.031526227,983.4962,-0.020420803,4.8571477,1054.9381,16.703611,13.009524,1241.7036,-13.521527,34.815582,1456.5358,11.09376,44.26615,1590.386,79.091965,65.02818,1386.8563,-7.708116,197.63133,1366.1925,-20.58264,233.20537,1142.6466,-67.13525,276.87997,932.9525,-85.27141,-10.820248,1393.0743,1.5294547,-143.65778,1396.4573,27.304796,-201.80746,1180.0294,4.9305367,-233.9851,978.8369,38.7483,95.41082,978.2207,-6.6610723,89.57611,567.8554,25.991606,77.8359,198.68286,4.0541205,70.939026,133.4927,150.80774,-95.40923,988.7295,6.616859,-100.033646,574.8256,48.144104,-99.22657,230.4594,-91.4796,-103.70063,143.91734,42.779453
0.031000935,982.8266,-0.02125354,4.8177013,1054.3148,16.492176,12.942052,1241.0002,-14.148285,34.922607,1455.8004,10.077213,44.75591,1589.5961,78.281715,65.073425,1386.0568,-8.591194,197.45076,1364.9596,-21.148405,232.83862,1141.3337,-66.83734,275.77426,931.7145,-84.195526,-10.730202,1392.3964,0.5725434,-143.53883,1396.172,26.069025,-202.00267,1179.789,3.0535557,-234.3765,978.5973,36.37781,95.38529,977.5237,-6.5520773,89.01566,566.835,23.947859,77.38963,197.54811,1.0103832,70.391304,132.23686,147.80348,-95.3839,988.0869,6.513509,-99.798325,573.76,46.59702,-99.36892,227.78532,-89.93193,-104.327576,141.80817,44.704494
0.030548666,982.18365,-0.022197964,4.7733045,1053.7234,16.275618,12.862576,1240.3323,-14.805342,35.01751,1455.1061,8.998002,45.231514,1588.8512,77.398285,65.108154,1385.2979,-9.5234585,197.28278,1363.7566,-21.779425,232.42557,1140.0359,-66.58864,274.60022,930.47003,-83.20735,-10.654078,1391.7538,-0.4236029,-143.46437,1395.9222,24.806274,-202.1881,1179.5781,1.2127221,-234.7238,978.39813,34.021877,95.36417,976.8577,-6.444436,88.490425,565.8409,21.956816,76.976036,196.4381,-2.1577601,69.87273,130.98932,144.68443,-95.3629,987.46747,6.4120383,-99.57507,572.6937,44.814995,-99.514885,225.05466,-88.44932,-104.92237,139.69217,46.593647
0.030041782,981.57153,-0.02305893,4.7248735,1053.163,16.05909,12.766943,1239.7015,-15.477961,35.088478,1454.46,7.8898892,45.680744,1588.1599,76.48905,65.121994,1384.5802,-10.4812565,197.11885,1362.5884,-22.457602,231.96603,1138.7427,-66.36367,273.36838,929.22687,-82.26403,-10.601571,1391.1472,-1.438002,-143.43925,1395.7045,23.542366,-202.38289,1179.382,-0.5759259,-235.06429,978.22925,31.709272,95.346954,976.2268,-6.3361063,88.00294,564.88715,20.013704,76.61008,195.36787,-5.4613266,69.39864,129.75725,141.43822,-95.34613,986.8752,6.310496,-99.38572,571.6267,42.81448,-99.67512,222.26056,-87.07099,-105.509575,137.55988,48.40916
0.029353254,980.99725,-0.02391192,4.669051,1052.6394,15.838151,12.653168,1239.1055,-16.149961,35.12628,1453.8486,6.7896,46.08799,1587.5149,75.56221,65.10862,1383.8914,-11.425433,196.9531,1361.4432,-23.124834,231.47386,1137.4624,-66.13039,272.0567,927.98303,-81.329575,-10.575868,1390.5626,-2.446851,-143.46547,1395.4902,22.272568,-202.60979,1179.1925,-2.3098378,-235.42503,978.06494,29.46999,95.32962,975.6426,-6.209513,87.55321,563.9978,18.144865,76.27484,194.37192,-8.916687,68.95483,128.59514,138.05295,-95.3306,986.3126,6.19223,-99.23492,570.5894,40.640995,-99.83675,219.42535,-85.76634,-106.06425,135.46442,50.19377
0.028245594,980.42303,-0.023651728,4.589743,1052.0726,15.627392,12.503957,1238.408,-16.714561,35.092808,1453.0956,5.864145,46.36347,1586.7589,74.684135,65.03382,1383.0508,-12.178998,196.74933,1360.0731,-23.551962,230.94276,1136.1431,-65.73335,270.58664,926.56323,-80.250374,-10.591987,1389.8164,-3.3204002,-143.55322,1395.012,21.028011,-202.9277,1178.9661,-3.8866057,-235.91116,977.7523,27.546665,95.28231,975.0747,-6.0160313,87.153435,563.2208,16.433445,75.9125,193.61702,-12.486145,68.46833,127.81784,134.5444,-95.29149,985.7328,6.012113,-99.168976,569.62665,38.382122,-99.9407,216.73761,-84.56812,-106.54536,133.7093,51.893635
